codeClean,codeDisinf,codeEcon,codeElev,codeEmgr,codeFalarm,codeGarbage,codeMgr,codeNet,codeSec,codeStr,codeWsupply,convenientFacility,disposalType,educationFacility,kaptCcompany,kaptCode,kaptMgrCnt,kaptName,kaptdCccnt,kaptdClcnt,kaptdDcnt,kaptdEcapa,kaptdEcnt,kaptdPcnt,kaptdPcntu,kaptdScnt,kaptdSecCom,kaptdWtimebus,kaptdWtimesub,subwayLine,subwayStation,welfareFacility
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,GR형,음식물쓰레기종량제,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,병원(대성의원) 백화점(롯데백화점) 대형상가(LG하이프라자) 공원(여의도공원),"도포식,분무식,기구부착식,독이식",중학교(영원) 고등학교(영등포여고),주식회사 건은,A15003001,4,영등포두산위브,70,3,12,1150,8,59,245,4,주식회사 건은휴넥스,5~10분이내,5~10분이내,"1호선, 5호선",신길,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,GR형,거점장비수거방식,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,병원(영등포종도외과의원) 백화점(롯데백화점) 대형상가(삼성디지털프라자) 공원(고추말어린이공원),"분무식,독이식",초등학교(서울영원),서림주택관리(주),A15003002,17,영등포푸르지오,420,22,12,4850,58,347,2207,24,(주)듀델코리아,5분이내,5~10분이내,1호선,영등포,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,백화점() 백화점() 공원() 공원(),분무식,중학교() 중학교() 고등학교() 고등학교(),서림주택관리(주),A10026311,1,순영웰라이빌아파트,18,1,12,650,4,12,154,3,,5~10분이내,5~10분이내,"1호선, 1호선, 5호선, 5호선",신길역,"관리사무소, 관리사무소, 노인정, 노인정, 어린이놀이터, 어린이놀이터, 자전거보관소, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,차량수거방식,위탁관리,,관리방식미정,철골철근콘크리트구조,부스타방식,,분무식,,(주)크라운종합관리,A10024490,5,여의도더리브스타일,42,3,6,2250,3,0,95,0,,5~10분이내,5분이내,"1호선, 5호선",신길역,관리사무소
,,,,,,,자치관리,,,,,,,,,A10025518,,현대프라자주상복합아파트,,,,,,,,,,5분이내,5분이내,,,
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,자치관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(남부교육청) 병원(서울성모병원) 공원(남부근로청소년회관체육공원) 기타(도서관),,초등학교(영동초),,A15003701,6,영등포경남아너스빌,79,7,12,1350,12,0,706,8,(주)푸른안전산업,5~10분이내,15~20분이내,5호선,영등포시5,"관리사무소, 노인정, 어린이놀이터, 유치원"
위탁관리(직영+위탁),위탁관리,단일계약,위탁관리,상주선임,R형,차량수거방식,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,"병원(한강성심병원) 백화점(신세계, 롯데) 대형상가(영등포 시장)","도포식,분무식,독이식",,율산개발 유한회사,A10026816,12,아크로타워스퀘어,275,16,6,6000,25,0,1530,16,(주)에스원,5~10분이내,5분이내,5호선,영등포시장역,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,R형,거점장비수거방식,위탁관리,,위탁관리,철골철근콘크리트구조,부스타방식,,분무식,,(주)신대한관리,A10026801,2,브라운스톤 영등포,30,1,6,200,3,54,80,2,청원종합,5분이내,5~10분이내,,,
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,,위탁관리,철골철근콘크리트구조,부스타방식,관공서(영등포구청) 병원(한림대학교한강성심병원) 백화점(타임스퀘어) 대형상가(빅마켓),"분무식,기구부착식",초등학교(영중초등학교) 중학교(당산중학교) 고등학교(장훈고등학교),(주)아주관리,A10024567,9,포레나영등포센트럴아파트,85,8,4,6136,4,0,326,4,(주)유케이개발,5분이내,5분이내,5호선,영등포시장역,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,"병원(서울성모병원) 백화점(롯데, 신세계, 타임스퀘어) 대형상가(롯데 빅마켓) 공원(당산동마을마당공원) 기타(영등포경찰서)","분무식,독이식",초등학교(영동초) 중학교(당산중),서림주택관리(주),A15003801,5,영등포삼환,88,5,12,1850,12,103,475,6,주)경진이앤지,5분이내,10~15분이내,"2호선, 9호선",당산역,"관리사무소, 노인정, 문고, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,병원(서울성모병원) 공원(당산동마을마당공원) 기타(롯데마트),도포식,초등학교(영동초) 중학교(당산중),율산개발 유한회사,A15003802,5,당산푸르지오,108,5,12,2550,24,22,828,6,(주)유케이개발,5분이내,10~15분이내,2호선,당산,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(여의동사무소) 병원(김열회산부인과) 공원(앙카라) 기타(케이비에스),분무식,초등학교(윤중) 중학교(윤중) 고등학교(여의도),,A15089513,6,여의도진주,33,3,12,700,4,190,0,8,한국보안컨설팅,5분이내,15~20분이내,"5호선, 9호선",여의도,"관리사무소, 어린이놀이터"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(소방서) 병원(여의도성모병원) 공원(앙카라) 기타(케이비에스별관),,초등학교(윤중) 중학교(윤중),(주)세안텍스,A15089307,10,여의대우트럼프월드2차,92,8,4,2750,10,4,542,8,인덕종합관리,5분이내,5분이내,9호선,여의도,"관리사무소, 노인정, 주민공동시설, 휴게시설, 커뮤니티공간"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,차량수거방식,위탁관리(총액관리제),,위탁관리,철근콘크리트구조,부스타방식,병원(여의도성모) 백화점(롯데) 대형상가(이마트) 공원(여의도) 기타(국회의사당),"도포식,분무식,독이식","초등학교(여의도) 중학교(여의도) 고등학교(여의도, 영등포여)",한국주택시설관리(주),A15076302,13,여의도자이,158,12,4,5500,17,0,1382,19,한국주택시설관리(주),5분이내,5~10분이내,"5호선, 9호선","5호선 여의도역, 9호선 샛강역","관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,P형,음식물쓰레기종량제,자치관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(여의동사무소) 병원(여의도성모병원) 공원(한강시민공원),"분무식,기구부착식",초등학교(여의도) 중학교(여의도) 고등학교(여의도여),,A15089421,21,여의도시범아파트,56,27,4,3000,24,1297,0,55,경진이엔지,5분이내,15~20분이내,"1호선, 5호선, 9호선",여의나루,"관리사무소, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,자치관리,무,자치관리,철근콘크리트구조,부스타방식,병원(여의도성모병원) 백화점() 공원(한강시민공원),"도포식,분무식,기구부착식,독이식",초등학교(여의도초등학교) 중학교(여의도중학교) 고등학교(여의도고),,A15001020,13,여의도삼부,118,8,12,2250,20,720,0,32,,5분이내,5분이내,5호선,여의나루,"관리사무소, 노인정, 어린이놀이터"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,P형,음식물쓰레기종량제,자치관리,,위탁관리,철근콘크리트구조,고가수조식,병원(가주치과) 대형상가(여의도백화점) 공원(여의도샛강생태공원),"분무식,독이식",초등학교(윤중) 중학교(윤중),,A15088717,7,여의도미성,37,7,12,1500,15,465,0,23,삼우안전관리(유),5분이내,5분이내,"5호선, 9호선",여의도,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,P형,기타,자치관리,,위탁관리,철근콘크리트구조,고가수조식,병원(맨션치과) 공원(한강시민공원),,초등학교(여의도) 중학교(여의도) 고등학교(여의도여),,A15001004,4,여의도장미,24,3,12,750,5,220,0,10,이엠피서비스,5분이내,5~10분이내,5호선,여의나루,"관리사무소, 어린이놀이터"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,위탁관리,철근콘크리트구조,부스타방식,"관공서(주민센터, 치안센터, 소방파출소) 병원(맨션치과) 백화점() 대형상가(LG하이프라자) 공원(한강시민공원)","도포식,분무식","초등학교(여의도초교) 중학교(여의도중) 고등학교(여의도여고, 여의도고)",,A15001016,8,여의도대교,30,8,4,998,10,400,0,21,(주)이엠피서비스,10~15분이내,10~15분이내,"5호선, 9호선",,"관리사무소, 어린이놀이터"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,,자치관리,,자치관리,철근콘크리트구조,고가수조식,병원(연세치과의원) 백화점(더현대서울) 대형상가(이마트) 공원(한강시민공원),분무식,"초등학교(여의도초등) 중학교(여의도중) 고등학교(여의도고,  여의도여고)",,A15001009,6,여의도수정,56,3,4,750,9,280,0,18,,5분이내,5~10분이내,"1호선, 5호선, 9호선",여의나루,관리사무소
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,P형,거점장비수거방식,자치관리,무,자치관리,철근콘크리트구조,부스타방식,관공서(여의동사무소) 병원(여의도성모병원) 공원(한강시민공원),"분무식,독이식",초등학교(여의도) 중학교(여의도) 고등학교(여의도여),,A15089510,6,여의도은하,54,3,4,990,15,314,0,16,,5분이내,15~20분이내,"1호선, 5호선, 9호선","대방역,여의도역,샛강역","관리사무소, 어린이놀이터"
자치관리,위탁관리,종합계약,위탁관리,위탁선임,P형,,자치관리,무,자치관리,철근콘크리트구조,고가수조식,관공서(여의동사무소) 병원(여의도성모병원) 공원(한강시민공원),"도포식,분무식",초등학교(여의도) 중학교(여의도) 고등학교(여의도여),,A15089411,6,여의도삼익,20,3,12,900,15,374,0,15,,5분이내,15~20분이내,"5호선, 9호선",여의나루,"관리사무소, 어린이놀이터"
위탁관리(직영+위탁),위탁관리,종합계약,위탁관리,상주선임,R형,차량수거방식,위탁관리,,위탁관리(직영+위탁),철골철근콘크리트구조,부스타방식,병원(충정한의원) 대형상가(여의도백화점),"분무식,독이식",초등학교(윤중) 중학교(윤중),(주)무림하우징,A15088614,11,롯데캐슬엠파이어,160,12,4,8000,10,0,935,8,,5분이내,5분이내,"1호선, 5호선, 9호선",여의도,"관리사무소, 노인정, 주민공동시설, 휴게시설, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,기타,R형,음식물쓰레기종량제,위탁관리,,위탁관리,철골철근콘크리트구조,고가수조식,병원(여의도성모병원) 공원(한강시민공원),"도포식,분무식",초등학교(여의도) 중학교(여의도) 고등학교(여의도),율산개발 유한회사,A15001005,9,여의도금호리첸시아,97,10,12,3000,8,0,517,11,가엘S&S,5분이내,15~20분이내,"1호선, 5호선, 9호선",여의나루,"관리사무소, 주민공동시설, 커뮤니티공간"
자치관리(직영),위탁관리,종합계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,자치관리(직영),철근콘크리트구조,고가수조식,,"분무식,독이식",,,A15001003,6,서울아파트관리사무소,32,2,4,975,8,260,0,16,,5분이내,5분이내,5호선,여의나루,"관리사무소, 노인정, 어린이놀이터"
자치관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,자치관리,,자치관리,철근콘크리트구조,고가수조식,관공서(여의도주민센터) 병원(여의도성모병원) 백화점(여의도백화점) 공원(한강시민공원),"도포식,분무식,독이식",초등학교(여의도초등학교) 중학교(여의도중학교) 고등학교(여의도고등학교),,A15088208,6,여의도목화,24,2,4,800,4,312,0,6,,5분이내,5분이내,5호선,여의나루역,"관리사무소, 어린이놀이터, 자전거보관소"
자치관리,위탁관리,종합계약,위탁관리,상주선임,P형,거점장비수거방식,자치관리,무,위탁관리,철근콘크리트구조,고가수조식,"관공서(여의동주민센타) 병원(연세치과의원, 여의도성모병원) 대형상가(LG하이프라자) 공원(한강시민공원)","도포식,분무식","초등학교(여의도초교) 중학교(여의도중) 고등학교(여의도여고, 여의도고)",,A15088918,10,여의도한양,100,9,4,1900,19,621,0,32,이데아그룹,5분이내,5~10분이내,"5호선, 9호선, 인천1호선",,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설"
자치관리(직영),위탁관리,종합계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,유,자치관리(직영),철근콘크리트구조,부스타방식,관공서(여의동사무소) 병원(김열회산부인과) 공원(앙카라) 기타(케이비에스),,초등학교(윤중),무림하우징,A15076301,10,여의도대우트럼프월드,69,9,12,4350,10,0,492,10,,5분이내,5분이내,"1호선, 5호선, 9호선","샛강역, 대방역, 여의도역","관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소, 기타"
자치관리(직영),위탁관리,종합계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,자치관리,철근콘크리트구조,고가수조식,백화점(더현대서울) 공원(여의도공원),분무식,고등학교(여의도고),,A15001012,7,여의도공작,13,3,4,950,6,290,0,14,,5분이내,5분이내,5호선,여의나루역,"관리사무소, 어린이놀이터"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,자치관리,무,자치관리,철근콘크리트구조,고가수조식,병원(가주치과) 대형상가(여의도백화점) 공원(여의도공원),"도포식,분무식,독이식",초등학교(윤중) 중학교(윤중),,A15001019,18,여의도광장,76,9,4,3200,30,910,0,36,,5분이내,5분이내,"5호선, 9호선",여의도,"관리사무소, 노인정, 어린이놀이터"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,위탁관리,철골철근콘크리트구조,고가수조식,백화점() 공원() 기타(),"도포식,독이식",,,A15001001,4,여의도초원,18,2,12,375,2,64,0,2,두원에이앤씨,5분이내,5~10분이내,"5호선, 9호선",,관리사무소
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,무,위탁관리,철골철근콘크리트구조,부스타방식,"관공서(여의도 우체국) 병원(카톨릭대학교 여의도성모병원) 백화점(여의도백화점) 공원(여의도공원, 앙카라 공원)",분무식,초등학교(여의도 초등학교) 중학교(여의도 중학교) 고등학교(여의도 여자고등학교),(주)세안텍스,A15088915,12,롯데캐슬아이비,46,18,4,7000,12,0,1081,11,(주)세안텍스,5분이내,10~15분이내,"1호선, 5호선, 9호선",대방역 / 여의도역 / 샛강역,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
자치관리(직영),위탁관리,종합계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,자치관리,,자치관리(직영),벽돌구조,고가수조식,공원(),,초등학교() 중학교() 고등학교(),,A15088802,4,여의도화랑,32,2,12,600,8,155,0,6,,5분이내,10~15분이내,"5호선, 9호선",,"관리사무소, 어린이놀이터"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,차량수거방식,자치관리,,위탁관리,철골철근콘크리트구조,고가수조식,,도포식,,,A10024981,1,콤비아파트,32,4,12,2687,3,11,133,2,아세아환경,5분이내,5~10분이내,"5호선, 9호선",,"관리사무소, 어린이놀이터, 기타"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(영등포구청) 병원(소망치과) 대형상가(삼성홈플러스) 기타(영등포청과시장),"분무식,독이식",초등학교(문래초) 중학교(양화중학교),율산개발(주),A15080002,5,당산진로,50,3,12,1954,8,74,477,8,(주)이오티앤디,5분이내,5~10분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,GR형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,"관공서(영등포구청) 병원(김안과병원) 백화점(타임스퀘어) 대형상가(홈플러스, 이마트) 공원(문래근린공원)","분무식,독이식",초등학교(영증초) 중학교(양화중교),태림주택종합관리(주),A15004101,2,당산신동아파밀리에,37,2,12,940,14,23,148,2,태림주택관리,5분이내,5~10분이내,"1호선, 2호선, 5호선","영등포,문래","관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소"
,,,,,,,자치관리,,,,,,,,,A15075001,,당산코오롱,,,,,,,,,,5분이내,,"2호선, 5호선",,
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,차량수거방식,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포구청) 병원(김원식치과) 백화점() 대형상가(영등포유통상가) 공원(당산 문래공원) 기타(홈플러스),"도포식,분무식",초등학교(문래초) 중학교(양화중학교),인덕종합관리(주),A15004201,7,당산동대우,43,3,12,1100,4,0,542,2,인덕종합관리(주),5분이내,5~10분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,차량수거방식,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,"관공서(영등포구청) 병원(영등포병원) 백화점(롯데백화점, 신세계백화점) 대형상가(홈플러스,코스트코, 롯데마트, 영등포유통상가) 공원(당산공원)","도포식,분무식,독이식",초등학교(당중초) 중학교(양화중),태림주택종합관리(주),A15004202,7,당산2가현대,150,7,4,2100,21,251,489,9,태림주택종합관리(주),5분이내,5분이내,"2호선, 5호선",영등포구청역,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소"
위탁관리,위탁관리,종합계약,관리방식미정,상주선임,R형,음식물쓰레기종량제,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포구청) 병원(영등포병원) 대형상가(코스트코/홈플러스/롯데마트) 공원(당산공원),"도포식,독이식",,주식회사 한화에스테이트서비스,A10023489,8,포레나 당산,93,6,12,3500,12,0,348,2,(주)멀티파워텍,5분이내,5분이내,"2호선, 5호선",영등포구청역,"관리사무소, 보육시설, 문고, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소"
위탁관리,자치관리,단일계약,위탁관리,위탁선임,GR형,거점장비수거방식,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(성모치과) 대형상가(하이마트-영등포점) 공원(당산공원),"도포식,분무식,독이식",초등학교(영중초),국제경보산업(주),A15080402,3,당산삼익,17,1,12,130,2,130,0,4,(주)조현시스템,5~10분이내,5분이내,"2호선, 5호선",영등포구청,"관리사무소, 어린이놀이터, 자전거보관소"
